source_sha256	source_line	id	register	disposition	row_sha256	path
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	96	IOS-EPOCH-001	yes	closed-decision	786a590cad38589641e635bd88a6ef5eca6ba77b25326143a871285d97f8f22d	Companion/Process/Current/KnownIssues/ios-epoch-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	97	IOS-ACTION-001	yes	closed-decision	a93016b4fb69f5c435942f0ec42993a5c3c9ea88c5c610455786f78ef926dc7b	Companion/Process/Current/KnownIssues/ios-action-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	98	IOS-ACTION-002	yes	closed-decision	076645bdb682bf3e3a36b92c7462b50404452be10970189a57c73235b4e956c1	Companion/Process/Current/KnownIssues/ios-action-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	99	IOS-DATE-001	yes	closed-decision	94bfbf6566428abb24c1aee2cdbafa58b0a19efeec6b56ea6ee2f789c5b41462	Companion/Process/Current/KnownIssues/ios-date-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	100	IOS-IMAP-001	yes	attribution-first	8c21b2a534a1188bdba7784cbf4d650eb75cc35264c191f736ccac8e7b5402b7	Companion/Process/Current/KnownIssues/ios-imap-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	101	IOS-IMAP-003	yes	fixed	96a4993b06d0ddf7e36c7d6b3571495f79cc4bfe51ab95f70018ea96e7d61bdd	Companion/Process/Current/KnownIssues/ios-imap-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	102	IOS-IMAP-005	yes	fixed	d7dd6d40abe6a0591421c95a40d44cdd4b8bd0adb692191e4f7e750c4a5deed8	Companion/Process/Current/KnownIssues/ios-imap-005.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	103	IOS-IMAP-009	yes	accepted	0fa6bc9921edba7d9d1a2330a63192fbc39711caee5087846433ab58313cc3b2	Companion/Process/Current/KnownIssues/ios-imap-009.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	104	IOS-IMAP-010	yes	accepted	a1b2467088290c42a9005960da8ecfd5bd37d8fff3c71ad35716c6d8bcc18a7a	Companion/Process/Current/KnownIssues/ios-imap-010.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	105	IOS-IMAP-011	yes	closed-decision	26c037947a1461535dc7e4c4fed4d3d2fddb019fbe77a5c42521dd484519e9ae	Companion/Process/Current/KnownIssues/ios-imap-011.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	106	IOS-GRAPH-001	yes	attribution-first	33e1237f1304a644dec4eca62802ff7b2842f6bb8e7467ce69e5f92cfca11a36	Companion/Process/Current/KnownIssues/ios-graph-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	107	IOS-UNDO-001	yes	closed-decision	5425f61e9c585ee1b494aedb6497bd877f83631c189b03c84cb9ac17b61a53db	Companion/Process/Current/KnownIssues/ios-undo-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	108	IOS-OUTBOX-001	yes	attribution-first	bcb8958421cddf3854071cf922160ebc0af06089b330d2f8dac47d6d3735c014	Companion/Process/Current/KnownIssues/ios-outbox-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	109	IOS-OUTBOX-002	yes	attribution-first	fc8f484f2c59f368266cc9526b152cf5deef11a74ba4244ba80732908451fe3e	Companion/Process/Current/KnownIssues/ios-outbox-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	110	IOS-TLS-001	yes	closed-decision	1d5f5ca0db349d8c5e2534ace8e838428d09536cebdfa45a63107eb6e9d4ac6a	Companion/Process/Current/KnownIssues/ios-tls-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	111	IOS-TLS-002	yes	attribution-first	c23dbd78bf5e35c48d5f129a8d807e99f57aaabab4149e3470053e8ffc26d5a1	Companion/Process/Current/KnownIssues/ios-tls-002.md
